iter	MultiClass
285	0.8433007263
286	0.8432381904
287	0.8431403677
288	0.8430802249
289	0.843003633
290	0.8428949809
291	0.8427666868
292	0.8426218893
293	0.8425162867
294	0.8424167817
295	0.8423578498
296	0.8422077859
297	0.8421230046
298	0.8420064432
299	0.8419091412
300	0.8418114011
301	0.8417482224
302	0.8416961726
303	0.8415891046
304	0.8414834314
305	0.8413962355
306	0.8413044745
307	0.8411666272
308	0.8410779652
309	0.8409445166
310	0.8408959363
311	0.840789636
312	0.8407337746
313	0.8406373571
314	0.8404981047
315	0.8404012807
316	0.8402280769
317	0.8401294412
318	0.8399952588
319	0.839872714
320	0.8397748846
321	0.8397261617
322	0.8396673094
323	0.8395092418
324	0.8394056457
325	0.8393310802
326	0.8392526032
327	0.8391694476
328	0.8390989354
329	0.8390086655
330	0.8389044416
331	0.8388381925
332	0.8387537898
333	0.8386677077
334	0.8386186013
335	0.838534184
336	0.8384196919
337	0.8382946209
338	0.8382275711
339	0.8381796746
340	0.8381360029
341	0.8380577018
342	0.8379125845
343	0.8378266251
344	0.8376758116
345	0.8376014906
346	0.8375391647
347	0.8374320773
348	0.8374022499
349	0.8373080111
350	0.8372222014
351	0.8371302614
352	0.8369916742
353	0.8368942562
354	0.8368365634
355	0.8366914908
356	0.8365275338
357	0.8364725258
358	0.8363632757
359	0.8362357083
360	0.8361931781
361	0.8360863866
362	0.8360399348
363	0.8359224513
364	0.8358006516
365	0.8357234395
366	0.8356688764
367	0.8355144772
368	0.8353933833
369	0.8352389412
370	0.8351700918
371	0.8350336696
372	0.8349717409
373	0.8348726925
374	0.8347683134
375	0.8347053304
376	0.8346183049
377	0.8345305813
378	0.8344272835
379	0.8342233737
380	0.8340768848
381	0.8340079693
382	0.8338931146
383	0.8337815842
384	0.8336592385
385	0.8335636767
386	0.8334718464
387	0.8334063302
388	0.8332681786
389	0.833155113
390	0.8330014928
391	0.8329067935
392	0.8328196157
393	0.8327450943
394	0.8326906588
395	0.8325929337
396	0.8325070426
397	0.8324284339
398	0.8323702736
399	0.8322967891
